"iso3","country","region","year","decision_year","completion_year","relief_van_musd","hipc_phase","post_completion","dsf_2022","eub","gdpg","reserves","pov_190","wgi_cc","wgi_rl","wgi_ge","wgi_rq","wgi_pv","wgi_va","ln_relief","ln_gdppc","ln_dxp","ln_inf_mort","ln_eub","inf_log","fdi_w","soc_exp","wgi_comp_lag","wgi_cc_lag","wgi_rl_lag","wgi_ge_lag","soc_x_wgi","dsf_num","dsf_high","time_since_comp","dxp","sdi","gdppc","trade","inf","fdi","wgi_comp","educ_exp","health_exp","inf_mort","gini","dxx_proxy","dxx_proxy_flag","tax_rev_gdp","total_rev_gdp","resource_rev_gdp","direct_tax_gdp","indirect_tax_gdp","income_tax_gdp","goods_tax_gdp","trade_tax_gdp","social_cont_gdp","IPF","RDI","resource_dep","fiscal_space","ln_tax_rev","ln_total_rev","wgi_pc1","FCF","FDS","IGC","IGA","ajr_settmort","ht_colonial","ross_oil_prod"
"ETH","Ethiopia","SSA",1990,2001,2004,1941,0,0,"Moderate",NA,2.72645178272684,0.491079408621226,NA,NA,NA,NA,NA,NA,NA,7.57147364885127,5.5875412541989,4.25777744969254,4.84182208732709,NA,0.0502413130457625,0.0961620638798249,NA,NA,NA,NA,NA,NA,2,0,NA,69.6527794653782,1.90267631309577,267.078134508598,23.8314470330714,5.15248124174767,0.0961620638798249,-1.36040637890498,3.4620099067688,0.63837194,126.7,37.7,584.545112755592,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.559911210996157,0.0393905206220516,3.25809645652771,0,0
"GMB","Gambia","SSA",1990,2000,2007,67,0,0,"High",NA,3.55887936756983,3.13588208895758,NA,NA,NA,NA,NA,NA,NA,4.21950770517611,6.49028514606038,4.84882888383632,4.59612944133594,NA,0.114825636754021,4.45308295613349,NA,NA,NA,NA,NA,NA,3,1,NA,126.590878575346,12.9402247067833,658.711165332156,131.485415341849,12.1677841130696,4.45308295613349,-0.889553730686507,2.82583999633789,1.22708309,99.1,59.5,192.555011894243,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55018153098026,0.734654525142505,7.29301786422729,5,0
"GHA","Ghana","SSA",1990,2002,2004,3500,0,0,"In distress",NA,3.32881788321653,2.34550665847414,NA,NA,NA,NA,NA,NA,NA,8.16080392095467,6.75209805648459,4.22218851395652,4.28496492183075,NA,0.316699950402441,0.267814716525533,NA,NA,NA,NA,NA,NA,4,1,NA,67.1825395645799,6.3711174251588,855.85250708181,42.7281781307805,37.2590664855671,0.251311464912112,-1.26922306418419,4.3014497756958,2.17278719,72.6,46.7,314.464798189853,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273506898797276,0.156819234376937,6.50428819656372,5,0
"GIN","Guinea","SSA",1990,2000,2012,800,0,0,"High",NA,4.3240627548313,NA,NA,NA,NA,NA,NA,NA,NA,6.68586094706836,6.30695304046833,4.18950559802395,4.8955984841079,NA,NA,0.459324256828018,NA,NA,NA,NA,NA,NA,3,1,NA,64.9901572298502,4.53421392398698,548.371534819426,44.2481030022452,10.4600731354706,0.459324256828018,-2.07846593856812,2.79530000686646,0.15007043,133.7,37.1,293.753416848413,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0797350797168618,0.144470682646547,6.18001651763916,6,0
"GNB","Guinea-Bissau","SSA",1990,2000,2010,790,0,0,"In distress",NA,6.09999998628119,NA,NA,NA,NA,NA,NA,NA,NA,6.67329796776765,6.34417858014074,4.74483253468371,4.8146204101703,NA,0.285193813038901,0.318517904409627,NA,NA,NA,NA,NA,NA,4,1,NA,113.988547297171,1.37696022317491,569.169670374215,46.970502719062,33.0019778318026,0.318517904409627,-2.24832407633463,2.09159994125366,0.71106249,123.3,55,485.362262264701,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256672855381687,0.130306106761661,5.10388278961182,7,0
"GUY","Guyana","LAC",1990,2000,2003,591,0,0,"Moderate",-785000,-3.06748466406728,NA,NA,NA,NA,NA,NA,NA,NA,6.38350663488401,7.77368615589941,6.52160229838495,3.96271611974366,NA,NA,1.99202050400334,NA,NA,NA,NA,NA,NA,2,0,NA,678.666541933303,102.222215462833,2377.21795364949,142.566230803686,10.8343588481414,1.99202050400334,-0.198124269333978,3.77811083266775,3.86888838,52.6,45.1,952.071943134736,1,15.15,NA,NA,5.78,9.38,5.07,9.38,1.85,0.55,0.381518151815182,0.616204690831556,NA,NA,2.78192004966867,NA,NA,NA,NA,0.369801526492971,0.321128132365254,3.47134518623352,5,0
"HTI","Haiti","LAC",1990,2006,2009,1200,0,0,"High",NA,1.03812280198248,0.22607532767003,NA,NA,NA,NA,NA,NA,NA,7.09090982207998,7.39468524933405,3.4501802554283,4.58496747867057,NA,0.192899017748567,0.258373747832002,NA,NA,NA,NA,NA,NA,3,1,NA,30.5060709372417,1.25413872590722,1627.31264525633,46.4148543201609,21.2760320067832,0.258373747832002,-1.72460716962815,1.11760997772217,0.54292566,98,46.7,131.449603296464,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12387701811772,0.353790280976608,4.86753463745117,6,0
"HND","Honduras","LAC",1990,2000,2005,900,0,0,"Moderate",NA,21.1713674322465,0.403735258880808,51.7,NA,NA,NA,NA,NA,NA,6.80350525760834,6.12682778607954,4.42049841848816,3.79548918917219,NA,0.209633228008951,1.16482700685721,NA,NA,NA,NA,NA,NA,2,0,NA,82.1377124064093,11.6716489234928,457.981040092588,94.2224913877873,23.3225664366467,1.16482700685721,-0.310580320656299,2.82130002975464,1.89818621,44.5,55.9,174.348419780918,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162247473711334,0.65768370398991,4.35799026489258,2,0
"LBR","Liberia","SSA",1990,2007,2010,2739,0,0,"High",NA,-51.0308649467486,NA,NA,NA,NA,NA,NA,NA,NA,7.91571319938212,6.62557008359808,5.96930652043076,5.1334427233578,NA,NA,58.5952133194589,NA,NA,NA,NA,NA,NA,3,1,NA,390.234263684485,0.604784337192593,754.134009462384,112.078964458333,8.63632094930278,58.5952133194589,-1.39718468983968,2.30833005905151,0.10548612,169.6,55.8,696.355940778807,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0493712293501556,0.142239524086022,6.18001651763916,0,0
"MDG","Madagascar","SSA",1990,2000,2004,836,0,0,"High",NA,3.12890505042525,1.12231563120067,NA,NA,NA,NA,NA,NA,NA,6.72982407048948,6.28885485747819,4.59674829855201,4.51195780426591,NA,0.111402580057863,0.569459513554867,NA,NA,NA,NA,NA,NA,3,1,NA,98.1613477308975,5.90679489062134,538.536275056569,32.3809923743425,11.7844838321357,0.569459513554867,-1.70566642284393,4.01865005493164,0.68256968,91.1,42.5,606.289928338805,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322792430765688,0.308575575015955,6.28420877456665,6,0
