"iso3","country","year","dxp","gdppc","trade","inf","fdi","hipc","post_decision","post_completion","completion_year","decision_year","ln_relief"
"AGO","Angola",1990,85.6841147539101,965.866840464665,NA,NA,-2.98142869155218,0,0,0,NA,NA,0
"AGO","Angola",1991,84.8786055943759,881.919488130062,NA,83.7837837837838,6.26663053571429,0,0,0,NA,NA,0
"AGO","Angola",1992,287.568152746417,668.706017459877,NA,299.509803921569,3.46608752793541,0,0,0,NA,NA,0
"AGO","Angola",1993,326.524497253351,449.727894936295,NA,1378.52760736196,5.2368632542517,0,0,0,NA,NA,0
"AGO","Angola",1994,581.118594659053,334.973590276074,NA,949.792531120332,3.83703655802979,0,0,0,NA,NA,0
"AGO","Angola",1995,241.057580028413,404.29481849612,NA,2666.45059288538,8.52948883994992,0,0,0,NA,NA,0
"AGO","Angola",1996,180.899433628874,531.115366543271,NA,4145.10598220638,2.39900196315229,0,0,0,NA,NA,0
"AGO","Angola",1997,147.806121516533,521.70291489053,NA,219.176721172974,5.38231611756009,0,0,0,NA,NA,0
"AGO","Angola",1998,194.747864891032,429.188126933192,NA,107.284821528298,17.1216116785351,0,0,0,NA,NA,0
"AGO","Angola",1999,223.247861326023,392.725539027496,NA,248.195902412868,40.1672485630423,0,0,0,NA,NA,0
"AGO","Angola",2000,131.075486566154,563.733795571487,NA,324.996871601321,9.62386615038711,0,0,0,NA,NA,0
"AGO","Angola",2001,119.007608419805,533.586202412447,NA,152.561022469299,24.0090757001341,0,0,0,NA,NA,0
"AGO","Angola",2002,66.8015479069923,999.065855913758,90.5708209731095,108.897436089429,10.0713557339551,0,0,0,NA,NA,0
"AGO","Angola",2003,56.6608944666511,1133.66331960607,90.6807161820483,98.2241436573304,17.5840588571176,0,0,0,NA,NA,0
"AGO","Angola",2004,46.5316387283025,1451.47117872493,90.3860384733605,43.5421067519687,8.13849032848245,0,0,0,NA,NA,0
"AGO","Angola",2005,37.1535135368479,2145.88621096327,95.3414592884703,22.953513851394,-3.14962046173322,0,0,0,NA,NA,0
"AGO","Angola",2006,21.4383204383608,2930.4442860732,84.6246041171541,13.3052101780032,-0.0643009490167298,0,0,0,NA,NA,0
"AGO","Angola",2007,20.7080710064909,3515.05678986535,97.2256306999958,12.2514974459487,-1.22312266225132,0,0,0,NA,NA,0
"AGO","Angola",2008,20.8444196333637,4578.15526451517,108.680408741993,12.4758291326398,1.69952793928946,0,0,0,NA,NA,0
"AGO","Angola",2009,31.9407468104196,3645.14846562976,102.263183257986,13.7302839288408,2.69909240017807,0,0,0,NA,NA,0
"AGO","Angola",2010,35.3911613090284,4101.63715566712,90.9940631355109,14.4696564932577,-3.37761927933748,0,0,0,NA,NA,0
"AGO","Angola",2011,33.9687833337354,5184.15269149912,89.0369443425845,13.4824679218511,-2.40838836782517,0,0,0,NA,NA,0
