"variable","pct_hipc"
"cbi_inc",76.5
"cbi_ref",76.5
"wdi_mobile",75.3
"ross_gas_prod",75
"ross_gas_value_2000",75
"ross_gas_value_2014",75
"wgov_minage",74.7
"hief_efindex",74.3
"chga_demo",74
"chga_hinst",74
"h_j",72.6
"h_polcon5",72.6
"wdi_gdpagr",72.6
"iaep_callo",72.3
"iaep_lego",72.3
"iaep_milo",72.3
"gd_ptss",71.9
"iaep_nee",71.5
"iaep_ufs",70.7
"wdi_gdpind",70.6
"atop_ally",70.4
"atop_consult",70.4
"atop_defensive",70.4
"atop_neutrality",70.4
"atop_nonagg",70.4
"atop_number",70.4
"atop_offensive",70.4
"atop_transyr",70.4
"iaep_ae",70.2
"iaep_nr",69.9
"ef_bul",69.3
"ef_carb",69.3
"ef_crop",69.3
"ef_fg",69.3
"ef_for",69.3
"ef_gl",69.3
"iaep_osp",69.1
"iaep_bp",68.9
"h_lflo",68.4
"wdi_expmil",68.4
"wdi_fdiout",68.4
"wdi_export",68
"wdi_import",68
"wdi_trade",68
"gea_ea1524f",67.9
"gea_ea1524m",67.9
"gea_ea2534f",67.9
"gea_ea2534m",67.9
"gea_ea3544f",67.9
"gea_ea3544m",67.9
"gea_ea4554f",67.9
"gea_ea4554m",67.9
"gea_ea5564f",67.9
"gea_ea5564m",67.9
"gea_ea65f",67.9
"gea_ea65m",67.9
"top_top10_income_share",67.7
"top_top1_income_share",67.7
"wdi_svapgdp",67.6
"wdi_inflation",67.4
"iaep_constin",67.3
"aid_crnio",67.2
"aid_crsio",67.2
"cbi_cbiu",67.1
"cbi_cbiw",67.1
"cbi_cceo",67.1
"cbi_cll",67.1
"cbi_cobj",67.1
"cbi_cpol",67.1
"iaep_cc",66.2
"iaep_arr",65.9
"wdi_oilrent",64.4
"wdi_refhcror",64
"ht_ipolity2",63.7
"ht_regtype",63.7
"ht_regtype1",63.7
"iaep_const",63.6
"iaep_basp",63.4
"iaep_ebbp",63.4
"iaep_npa",63.4
"iaep_rbbp",63.4
"iaep_lrit",63
"iaep_nel",63
"iaep_ise",62.8
"wdi_gerp",62.7
"wdi_refhcras",62.6
"iaep_constlam",62.2
"wdi_sva2015",62.2
"iaep_eml",61.5
"cbie_board",61.4
"cbie_cwne",61.4
"cbie_finances",61.4
"cbie_gmt",61.4
"cbie_index",61.4
"cbie_lending",61.4
"cbie_lendingref",61.4
"cbie_lvau",61.4
"cbie_obj",61.4
"cbie_policy",61.4
"cbie_report",61.4
"gle_exp",61.3
"gle_pop",61.3
"gle_trade",61.3
"aid_crnc",61.2
"aid_crsc",61.2
"wdi_svapg",60.8
"ciri_formov",60.7
"cbie_boardref",60.6
"cbie_financesref",60.6
"cbie_indexref",60.6
"cbie_objref",60.6
"cbie_policyref",60.6
"cbie_reportref",60.6
"ciri_dommov",60.6
"ciri_relfre",60.6
"wdi_gerpf",60.3
"wdi_gerpm",60.3
"ciri_injud",60.2
"gd_ptsa",59.5
"iaep_epmf",59.3
"cam_contest",59.1
"cam_inclusive",59.1
"who_matmort",58.7
"cbie_cbiconstitution",58.4
"ciri_disap",58.4
"ciri_elecsd",58.4
"ciri_polpris",58.4
"ciri_speech",58.4
"ciri_tort",58.4
"ciri_assn",58.3
"ciri_kill",58.3
"ciri_physint",58.3
"iaep_ecdl",58.3
"wdi_lrmd",58.2
"ciri_wopol",58.1
"iaep_evp",58.1
"wdi_tradeserv",58.1
"iaep_lcre",58
"ciri_wecon",57.6
"ictd_taxexsc",57.6
"iaep_lap",57.5
"iaep_enlc",57.3
"iaep_lvp",57.3
"iaep_pnlc",57.3
"iaep_pselc",57.3
"iaep_pvelc",57.3
"iaep_snlc",57.3
"iaep_ee",56.5
"gwf_duration",56.4
"gwf_fail",56.4
"gwf_failsub",56.4
"gwf_failtype",56.4
"gwf_failviolent",56.4
"gwf_regimetype",56.4
"opri_tipet",56.4
"rd_inw",56.4
"wr_regtype",56.4
"rd_outw",56.1
"rd_inw_gdp",55.9
"iaep_eccdt",55.7
"ictd_nontax",55.7
"ictd_taxinsc",54.4
"fao_luforreg",53.5
"iaep_pm5p",52.9
"wdi_lfpf",52.2
"wdi_lfpfilo15",52.2
"wdi_lfpilo15",52.2
"wdi_lfpmilo15",52.2
"wdi_lfpr",52.2
"wdi_lfprf",52.2
"wdi_lfprm",52.2
"wdi_lfpyfilo",52.2
"wdi_lfpyilo",52.2
"wdi_lfpymilo",52.2
"wdi_gdpcappppcon2021",51.7
"wdi_gdpcappppcur",51.7
"wdi_gdppppcon2021",51.7
"wdi_gdppppcur",51.7
"wdi_gnicappppcur",51.7
"wdi_gnipppcur",51.7
"bci_bci",51.4
"bci_bcistd",51.4
